k-type,runtime_sec,path_cost
k=5,7.685994625091553,3.920650398196563
k=5,21.51541519165039,5.205053295959814
k=5,21.362489223480225,4.257675209620483
k=5,28.77074122428894,3.781538527994572
k=5,46.273839473724365,3.781538527994572
k=5,44.95963668823242,3.736471341359758
k=5,51.840078830718994,3.4034107317264146
k=10,20.211445331573486,3.1665627560799967
k=10,52.68251442909241,3.0837059015138393
k=10,45.691070795059204,3.0837059015138393
k=10,69.5951600074768,3.0837059015138393
k=10,114.36765098571777,3.0837059015138393
k=10,105.3485860824585,3.3378937551102545
k=10,129.02260756492615,3.3378937551102545
k=log(n),8.654381036758423,4.713670517737958
k=log(n),22.702059507369995,5.205053295959814
k=log(n),21.58275270462036,4.257675209620483
k=log(n),28.48911762237549,3.781538527994572
k=log(n),58.42832946777344,3.781538527994572
k=log(n),56.83047151565552,3.5678460357423267
k=log(n),66.33162069320679,3.4034107317264146
k=10log(n),222.6156051158905,2.7821811646514494
k=10log(n),393.65897727012634,2.6988589691546006
k=10log(n),586.0958609580994,2.6988589691546006
k=10log(n),807.4687116146088,2.6988589691546006
k=10log(n),995.8947188854218,2.7332598349793633
k=10log(n),1218.1926083564758,2.693450382292724
k=10log(n),1079.9915409088135,2.693450382292724
k=n/10,33.04294562339783,3.1665627560799967
k=n/10,88.98914241790771,2.8676304938991115
k=n/10,208.29373502731323,2.7332598349793633
k=n/10,502.65890288352966,2.7332598349793633
k=n/10,734.5422022342682,2.7332598349793633
k=n/10,1149.891548871994,2.693450382292724
k=n/10,1259.814870595932,2.693450382292724
